Provincias	Comunidad autónoma de procedencia	Total
Lleida	Madrid, Comunidad de	12,24
Lleida	Murcia, Región de	0,66
Lleida	Navarra, Comunidad Foral de	0,74
Lleida	País Vasco	3,52
Lleida	Rioja, La	0,35
Lleida	Ceuta	0,05
Lleida	Melilla	0,02
Lugo	Total	100
Lugo	Andalucía	8,94
Lugo	Aragón	1,19
Lugo	Asturias, Principado de	6,98
Lugo	Balears, Illes	0,92
Lugo	Canarias	1,89
Lugo	Cantabria	1,56
Lugo	Castilla y León	6,21
Lugo	Castilla - La Mancha	2,18
Lugo	Cataluña	7,82
Lugo	Comunitat Valenciana	4,67
Lugo	Extremadura	1,18
Lugo	Galicia	31,36
Lugo	Madrid, Comunidad de	17,91
Lugo	Murcia, Región de	1,5
Lugo	Navarra, Comunidad Foral de	0,81
Lugo	País Vasco	3,92
Lugo	Rioja, La	0,48
Lugo	Ceuta	0,4
Lugo	Melilla	0,07
Madrid	Total	100
Madrid	Andalucía	13,33
Madrid	Aragón	2,5
Madrid	Asturias, Principado de	2,7
Madrid	Balears, Illes	2,03
Madrid	Canarias	2,93
Madrid	Cantabria	1,82
Madrid	Castilla y León	5,07
Madrid	Castilla - La Mancha	3,57
Madrid	Cataluña	13,01
Madrid	Comunitat Valenciana	8,48
Madrid	Extremadura	2,59
Madrid	Galicia	4,66
Madrid	Madrid, Comunidad de	26,35
Madrid	Murcia, Región de	2,8
Madrid	Navarra, Comunidad Foral de	1,63
Madrid	País Vasco	5,05
Madrid	Rioja, La	0,99
Madrid	Ceuta	0,29
Madrid	Melilla	0,22
Málaga	Total	100
Málaga	Andalucía	56,93
Málaga	Aragón	0,82
Málaga	Asturias, Principado de	0,93
Málaga	Balears, Illes	0,89
Málaga	Canarias	0,97
Málaga	Cantabria	0,49
Málaga	Castilla y León	2,16
Málaga	Castilla - La Mancha	2,79
Málaga	Cataluña	4,48
Málaga	Comunitat Valenciana	3,04
Málaga	Extremadura	2,37
Málaga	Galicia	1,39
Málaga	Madrid, Comunidad de	16,01
Málaga	Murcia, Región de	1,53
Málaga	Navarra, Comunidad Foral de	0,49
Málaga	País Vasco	2,06
Málaga	Rioja, La	0,45
Málaga	Ceuta	0,92
Málaga	Melilla	1,29
Murcia	Total	100
Murcia	Andalucía	13,77
Murcia	Aragón	1,19
Murcia	Asturias, Principado de	0,77
Murcia	Balears, Illes	1,06
Murcia	Canarias	0,76
Murcia	Cantabria	0,73
Murcia	Castilla y León	2,16
Murcia	Castilla - La Mancha	6,01
Murcia	Cataluña	7,74
Murcia	Comunitat Valenciana	16,56
Murcia	Extremadura	0,86
Murcia	Galicia	1,47
Murcia	Madrid, Comunidad de	16,65
Murcia	Murcia, Región de	26,81
Murcia	Navarra, Comunidad Foral de	0,49
Murcia	País Vasco	1,92
Murcia	Rioja, La	0,74
Murcia	Ceuta	0,21
Murcia	Melilla	0,08
Navarra	Total	100
Navarra	Andalucía	6,52
Navarra	Aragón	5,64
Navarra	Asturias, Principado de	2,43
Navarra	Balears, Illes	1,05
Navarra	Canarias	1,41
Navarra	Cantabria	1,91
Navarra	Castilla y León	4,71
Navarra	Castilla - La Mancha	2,43
Navarra	Cataluña	15,93
Navarra	Comunitat Valenciana	6,79
Navarra	Extremadura	0,84
Navarra	Galicia	2,88
Navarra	Madrid, Comunidad de	18,45
Navarra	Murcia, Región de	1,35
Navarra	Navarra, Comunidad Foral de	11,55
Navarra	País Vasco	14,61
Navarra	Rioja, La	1,42
Navarra	Ceuta	0,06
Navarra	Melilla	0,04
Ourense	Total	100
Ourense	Andalucía	5,32
Ourense	Aragón	0,79
Ourense	Asturias, Principado de	3,63
Ourense	Balears, Illes	0,62
Ourense	Canarias	0,89
Ourense	Cantabria	1,29
Ourense	Castilla y León	5,87
Ourense	Castilla - La Mancha	1,89
Ourense	Cataluña	3,91
Ourense	Comunitat Valenciana	2,66
Ourense	Extremadura	1,02
Ourense	Galicia	52,14
Ourense	Madrid, Comunidad de	14,94
Ourense	Murcia, Región de	0,64
Ourense	Navarra, Comunidad Foral de	0,78
Ourense	País Vasco	3,15
Ourense	Rioja, La	0,4
Ourense	Ceuta	0,06
Ourense	Melilla	0
Palencia	Total	100
Palencia	Andalucía	6,11
Palencia	Aragón	2,12
Palencia	Asturias, Principado de	4,6
Palencia	Balears, Illes	0,76
Palencia	Canarias	0,74
Palencia	Cantabria	4,35
Palencia	Castilla y León	20,55
Palencia	Castilla - La Mancha	3,76
Palencia	Cataluña	6,32
Palencia	Comunitat Valenciana	5,54
Palencia	Extremadura	2,35
Palencia	Galicia	6,29
Palencia	Madrid, Comunidad de	24,04
Palencia	Murcia, Región de	0,98
Palencia	Navarra, Comunidad Foral de	1,52
Palencia	País Vasco	9,03
Palencia	Rioja, La	0,87
